"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","IV-A","BATANGAS","STA. TERESITA","0","1","1"
"SITREP NO. 40","TYPHOON","IV-A","BATANGAS","BALAYAN","14","135","149"
"SITREP NO. 40","TYPHOON","IV-A","BATANGAS","LIAN","14","634","648"
"SITREP NO. 40","TYPHOON","IV-A","LAGUNA","SAN PABLO CITY","0","1","1"
"SITREP NO. 40","TYPHOON","IV-A","LAGUNA","VICTORIA","0","22","22"
"SITREP NO. 40","TYPHOON","IV-A","LAGUNA","PANGIL","2","13","15"
"SITREP NO. 40","TYPHOON","IV-A","QUEZON","CANDELARIA","4","0","4"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","ABRA DE ILOG","25","108","133"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","CALINATAAN","10","22","32"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","MAGSAYSAY","209","1272","1481"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","LUBANG","1","15","16"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","LOOC","2","36","38"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","RIZAL","26","331","357"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","SAN JOSE","237","633","870"
"SITREP NO. 40","TYPHOON","IV-B","OCC MINDORO","PALAUAN","0","5","5"
"SITREP NO. 40","TYPHOON","IV-B","MARINDUQUE","BOAC","2","12","14"
"SITREP NO. 40","TYPHOON","IV-B","MARINDUQUE","GASAN","3","131","134"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","BACO","28","480","508"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","BONGABONG","35","102","137"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","BULALACAO","144","332","476"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","GLORIA","0","5","5"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","MANSALAY","14","38","52"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","NAUJAN","36","84","120"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","PINAMALAYAN","0","33","33"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","PUERTO GALERA","42","12","54"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","CALAPAN CITY","2","57","59"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","BANSUD","34","125","159"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","POLA","26","334","360"
"SITREP NO. 40","TYPHOON","IV-B","ORIENTAL MINDORO","SOCORRO","5","12","17"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","ALCANTARA","35","691","726"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","CAJIDIOCAN","2","13","15"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","CALATRAVA","14","94","108"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","CONCEPCION","1","32","33"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","CORCUERA","2","112","114"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","FERROL","34","276","310"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","LOOC","77","705","782"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","ODIONGAN","76","845","921"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","ROMBLON","9","155","164"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","SAN AGUSTIN","6","76","82"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","SAN ANDRES","55","878","933"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","SAN FERNANDO","68","558","626"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","SAN JOSE","82","966","1048"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","STA. FE","105","1404","1509"
"SITREP NO. 40","TYPHOON","IV-B","ROMBLON","STA. MARIA","7","40","47"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","AGUTAYA","921","422","1343"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","BUSUANGA","1580","2607","4187"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","CORON","3334","6521","9855"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","CULLION","1528","2481","4009"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","CUYO","22","426","448"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","EL NIDO","6","44","50"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","LINAPACAN","22","545","567"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","MAGSAYSAY","16","538","554"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","ROXAS","1","3","4"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","SAN VICENTE","0","1","1"
"SITREP NO. 40","TYPHOON","IV-B","PALAWAN","PUERTO PRINCESA CITY","1","2","3"
"SITREP NO. 40","TYPHOON","V","ALBAY","RAPU-RAPU","56","30","86"
"SITREP NO. 40","TYPHOON","V","ALBAY","STO. DOMINGO","8","56","64"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","CARAMOAN","15","0","15"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","DEL GALLEGO","3","17","20"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","LAGONOY","6","0","6"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","LUPI","1","0","1"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","OCAMPO","0","765","765"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","PRESENTACION","181","186","367"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","RAGAY","9","319","328"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","SAGNAY","67","366","433"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","SAN JOSE","97","10","107"
"SITREP NO. 40","TYPHOON","V","CAMARINES SUR","SIRUMA","14","201","215"
"SITREP NO. 40","TYPHOON","V","MASBATE","BALENO","15","201","216"
"SITREP NO. 40","TYPHOON","V","MASBATE","BATUAN","24","278","302"
"SITREP NO. 40","TYPHOON","V","MASBATE","CATAINGAN","216","428","644"
"SITREP NO. 40","TYPHOON","V","MASBATE","CAWAYAN","357","1443","1800"
"SITREP NO. 40","TYPHOON","V","MASBATE","ESPERANZA","87","670","757"
"SITREP NO. 40","TYPHOON","V","MASBATE","MILAGROS","329","826","1155"
"SITREP NO. 40","TYPHOON","V","MASBATE","MONREAL","0","1","1"
"SITREP NO. 40","TYPHOON","V","MASBATE","PALANAS","25","198","223"
"SITREP NO. 40","TYPHOON","V","MASBATE","PLACER","181","1475","1656"
"SITREP NO. 40","TYPHOON","V","MASBATE","PIO V. CORPUZ","157","509","666"
"SITREP NO. 40","TYPHOON","V","MASBATE","SAN PASCUAL","5","16","21"
"SITREP NO. 40","TYPHOON","V","SORSOGON","BULUSAN","27","302","329"
"SITREP NO. 40","TYPHOON","V","SORSOGON","GUBAT","3","78","81"
"SITREP NO. 40","TYPHOON","V","SORSOGON","MATNONG","38","934","972"
"SITREP NO. 40","TYPHOON","V","SORSOGON","PILAR","27","302","329"
"SITREP NO. 40","TYPHOON","V","SORSOGON","SORSOGON CITY","6","175","181"
"SITREP NO. 40","TYPHOON","V","SORSOGON","STA. MAGDALENA","12","99","111"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","BARAS","28","16","44"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","BATO","26","66","92"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","GIGMOTO","29","1","30"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","PANDAN","1","5","6"
